"Song_Name","View_Count","Like_Count"
"Float On Modest Mouse",112456906,673998
"Drop It Like It's Hot Snoop Dogg feat. Pharrell",276515184,2126864
"Heartbeat Annie",198169,3230
"Slow Hands Interpol",11896191,85565
"Feel Good Inc. Gorillaz",789096813,6809942
"Gold Digger Kanye West",344716951,1926308
"I Bet You Look Good On the Dancefloor Arctic Monkeys",24686776,226636
"1 Thing Amerie",53204647,482808
"We Belong Together Mariah Carey",623595761,2452205
"Hate It or Love It The Game feat. 50 Cent",333683728,1605120
"Speed of Sound Coldplay",231174533,629075
"Stay Fly Three 6 Mafia",69739813,597130
"Do You Want To Franz Ferdinand",13602949,106209
"Check On It Beyonc?? feat. Slim Thug",140081033,720809
